"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-10","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","46.8","","","","1"
"2018-11","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","45.5","","","","1"
"2018-12","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","48.0","","","","1"
"2019-01","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","48.6","","","","1"
"2019-02","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","48.7","","","","1"
"2019-03","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","47.8","","","","1"
"2019-04","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","47.4","","","","1"
"2019-05","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","45.2","","","","1"
"2019-06","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","45.0","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","46.9","","","","1"
"2019-08","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","46.5","","","","1"
"2019-09","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","45.5","","","","1"
"2019-10","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","45.2","","","","1"
"2019-11","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","45.6","","","","1"
"2019-12","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","43.3","","","","1"
"2020-01","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","43.9","","","","1"
"2020-02","Newfoundland and Labrador","2016A000210","Goods-producing sector","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057623","2.2.1.1","44.6","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.1","","","","1"
"2016-03","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.3","","","","1"
"2016-04","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.0","","","","1"
"2016-05","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.4","","","","1"
"2016-06","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.5","","","","1"
"2016-07","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.9","","","","1"
"2016-08","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.9","","","","1"
"2016-09","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.5","","","","1"
"2016-10","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.5","","","","1"
"2016-11","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","2.2","","","","1"
"2016-12","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.1","","","","1"
"2017-01","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.1","","","","1"
"2017-02","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","2.1","","","","1"
"2017-03","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.8","","","","1"
"2017-04","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.9","","","","1"
"2017-05","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.7","","","","1"
